Title,Authors,HTML Link,PDF Link,Abstract,Published in,Date of Publication,Page(s),Electronic ISSN,PubMed ID,DOI,DOI Link,Publisher
Big Data Challenges and Data Aggregation Strategies in Wireless Sensor Networks,Sabrina Boubiche; Djallel Eddine Boubiche; Azeddine Bilami; Homero Toral-Cruz; ; ; ; ,https://ieeexplore.ieee.org/document/8353765/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8353765,"The emergence of new data handling technologies and analytics enabled the organization of big data in processes as an innovative aspect in wireless sensor networks (WSNs). Big data paradigm, combined with WSN technology, involves new challenges that are necessary to resolve in parallel. Data aggregation is a rapidly emerging research area. It represents one of the processing challenges of big sensor networks. This paper introduces the big data paradigm, its main dimensions that represent one of the most challenging concepts, and its principle analytic tools which are more and more introduced in the WSNs technology. The paper also presents the big data challenges that must be overcome to efficiently manipulate the voluminous data, and proposes a new classification of these challenges based on the necessities and the challenges of WSNs. As the big data aggregation challenge represents the center of our interest, this paper surveys its proposed strategies in WSNs.",IEEE Access,03 May 2018,20558 - 20571,2169-3536,,10.1109/ACCESS.2018.2821445,https://doi.org/10.1109/ACCESS.2018.2821445,IEEE
Big Data Platform for Educational Analytics,Amr A. Munshi; Ahmad Alhindi; ; ,https://ieeexplore.ieee.org/document/9393907/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9393907,"Huge amounts of educational data are being produced, and a common challenge that many educational organizations confront, is finding an effective method to harness and analyze this data for continuously delivering enhanced education. Nowadays, the educational data is evolving and has become large in volume, wide in variety and high in velocity. This produced data needs to be handled in an efficient manner to extract value and make informed decisions. For that, this paper confronts such data as a big data challenge and presents a comprehensive platform tailored to perform educational big data analytical applications. Further, present an effective environment for non-data scientists and people in the educational sector to apply their demanding educational big data applications. The implementation stages of the educational big data platform on a cloud computing platform and the organization of educational data in a data lake architecture are highlighted. Furthermore, two analytical applications are performed to test the feasibility of the presented platform in discovering knowledge that potentially promotes the educational institutions.",IEEE Access,02 April 2021,52883 - 52890,2169-3536,,10.1109/ACCESS.2021.3070737,https://doi.org/10.1109/ACCESS.2021.3070737,IEEE
A Scalable Multi-Data Sources Based Recursive Approximation Approach for Fast Error Recovery in Big Sensing Data on Cloud,Chi Yang; Xianghua Xu; Kotagiri Ramamohanarao; Jinjun Chen; ; ; ; ,https://ieeexplore.ieee.org/document/8627988/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8627988,"Big sensing data is commonly encountered from various surveillance or sensing systems. Sampling and transferring errors are commonly encountered during each stage of sensing data processing. How to recover from these errors with accuracy and efficiency is quite challenging because of high sensing data volume and unrepeatable wireless communication environment. While Cloud provides a promising platform for processing big sensing data, however scalable and accurate error recovery solutions are still need. In this paper, we propose a novel approach to achieve fast error recovery in a scalable manner on cloud. This approach is based on the prediction of a recovery replacement data by making multiple data sources based approximation. The approximation process will use coverage information carried by data units to limit the algorithm in a small cluster of sensing data instead of a whole data spectrum. Specifically, in each sensing data cluster, a Euclidean distance based approximation is proposed to calculate a time series prediction. With the calculated time series, a detected error can be recovered with a predicted data value. Through the experiment with real world meteorological data sets on cloud, we demonstrate that the proposed error recovery approach can achieve high accuracy in data approximation to replace the original data error. At the same time, with MapReduce based implementation for scalability, the experimental results also show significant efficiency on time saving.",IEEE Transactions on Knowledge and Data Engineering,28 January 2019,841 - 854,,,10.1109/TKDE.2019.2895612,https://doi.org/10.1109/TKDE.2019.2895612,IEEE
Soft and Declarative Fishing of Information in Big Data Lake,Bożena Małysiak-Mrozek; Marek Stabla; Dariusz Mrozek; ; ; ,https://ieeexplore.ieee.org/document/8314734/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8314734,"In recent years, many fields that experience a sudden proliferation of data, which increases the volume of data that must be processed and the variety of formats the data is stored in have been identified. This causes pressure on existing compute infrastructures and data analysis methods, as more and more data are considered as a useful source of information for making critical decisions in particular fields. Among these fields exist several areas related to human life, e.g., various branches of medicine, where the uncertainty of data complicates the data analysis, and where the inclusion of fuzzy expert knowledge in data processing brings many advantages. In this paper, we show how fuzzy techniques can be incorporated in big data analytics carried out with the declarative U-SQL language over a big data lake located on the cloud. We define the concept of big data lake together with the Extract, Process, and Store process performed while schematizing and processing data from the Data Lake, and while storing results of the processing. Our solution, developed as a Fuzzy Search Library for Data Lake, introduces the possibility of massively parallel, declarative querying of big data lake with simple and complex fuzzy search criteria, using fuzzy linguistic terms in various data transformations, and fuzzy grouping. Presented ideas are exemplified by a distributed analysis of large volumes of biomedical data on Microsoft Azure cloud. Results of performed tests confirm that the presented solution is highly scalable on the Cloud and is a successful step toward soft and declarative processing of data on a large scale. The solution presented in this paper directly addresses three characteristics of big data, i.e., volume, variety, and velocity, and indirectly addresses, veracity and value.",IEEE Transactions on Fuzzy Systems,12 March 2018,2732 - 2747,,,10.1109/TFUZZ.2018.2812157,https://doi.org/10.1109/TFUZZ.2018.2812157,IEEE
Cost Minimization for Big Data Processing in Geo-Distributed Data Centers,Lin Gu; Deze Zeng; Peng Li; Song Guo; ; ; ; ,https://ieeexplore.ieee.org/document/6762920/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6762920,"The explosive growth of demands on big data processing imposes a heavy burden on computation, storage, and communication in data centers, which hence incurs considerable operational expenditure to data center providers. Therefore, cost minimization has become an emergent issue for the upcoming big data era. Different from conventional cloud services, one of the main features of big data services is the tight coupling between data and computation as computation tasks can be conducted only when the corresponding data are available. As a result, three factors, i.e., task assignment, data placement, and data movement, deeply influence the operational expenditure of data centers. In this paper, we are motivated to study the cost minimization problem via a joint optimization of these three factors for big data services in geo-distributed data centers. To describe the task completion time with the consideration of both data transmission and computation, we propose a 2-D Markov chain and derive the average task completion time in closed-form. Furthermore, we model the problem as a mixed-integer nonlinear programming and propose an efficient solution to linearize it. The high efficiency of our proposal is validated by extensive simulation-based studies.",IEEE Transactions on Emerging Topics in Computing,11 March 2014,314 - 323,,,10.1109/TETC.2014.2310456,https://doi.org/10.1109/TETC.2014.2310456,IEEE
Artificial Intelligence in Finance: Coffee Commodity Trading Big Data for Informed Decision Making,Ngoc-Bao-van Le; Yeong-Seok Seo; Jun-Ho Huh; ; ; ,https://ieeexplore.ieee.org/document/10549867/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10549867,"Coffee, the second-largest global soft commodity, can take advantage of a comprehensive mining of daily and historical market data for more effective informed trading decisions. Advanced ICT and data mining technologies can change the trading market operation. The existing systems are confronted with certain constraints, including incomplete data, insufficient documentation for storage, and a requirement for a scalable infrastructure for big data analytics, such as a data warehouse or data lakehouse. To address this issue, the paper presents a design and implementation of a coffee commodity trading big data warehouse capable of analyzing various essential parameters for supporting informed decision-making. First, the designed system can automatically collect coffee trading data for New York Arabica coffee futures prices from selected worldwide reports and financial data portals. Next, the Extract, transform, and load (ETL) process is adopted to ingest coffee futures trading crawled data into the 3 layers data warehouse. Finally, the analytical system will extract and visualize selected key dimensions that influence coffee futures prices within different observation windows and perspectives. As a result, we implement a prototype of a coffee trading data warehouse on the crawled data from January 2000 to October 2022 and visualize trends in coffee futures prices based on the collected data for informed decision-making. The construction system is capable of stably operating and processing large volumes of transaction data. This paper will be valuable documentation for reference and decision support for coffee commodity trading enterprises and contribute to the development of future forecasting algorithms.",IEEE Access,05 June 2024,91780 - 91792,2169-3536,,10.1109/ACCESS.2024.3409762,https://doi.org/10.1109/ACCESS.2024.3409762,IEEE
A Secure High-Order Lanczos-Based Orthogonal Tensor SVD for Big Data Reduction in Cloud Environment,Jun Feng; Laurence T. Yang; Guohui Dai; Wei Wang; Deqing Zou; ; ; ; ; ,https://ieeexplore.ieee.org/document/8283808/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8283808,"Singular value decomposition (SVD) has been applied to cyber security and cyber forensics since it can reduce data. However, SVD is hard to reduce high-order big data because it is designed for only matrix data initially. Reducing high-order big data is desired for cyber security applications, and is a very challenging issue. In this paper, we propose a novel orthogonal tensor SVD method using big data techniques for high-order big data (naturally represented as tensors) reduction, which can be extensively used in big data applications of cyber security and cyber forensics. More specifically, we first present a high-order lanczos-based orthogonal tensor SVD algorithm to reduce high-order data. Then, for utilizing the incomparable benefits of cloud, we develop a secure orthogonal tensor SVD method to outsource the computation task of the orthogonal tensor SVD algorithm to cloud. The secure orthogonal tensor SVD method can protect data security from untrusted cloud by applying garbled circuits to the orthogonal tensor SVD algorithm. This is, to our best knowledge, the first work to address high-order big data reduction by employing cloud computing. Finally, we analyze the security and efficiency of our proposed orthogonal tensor SVD on synthetic dataset and real network intrusion detection dataset, and the results demonstrate that our proposed method is very promising for big data reduction.",IEEE Transactions on Big Data,08 February 2018,355 - 367,,,10.1109/TBDATA.2018.2803841,https://doi.org/10.1109/TBDATA.2018.2803841,IEEE
SEEN: A Selective Encryption Method to Ensure Confidentiality for Big Sensing Data Streams,Deepak Puthal; Xindong Wu; Nepal Surya; Rajiv Ranjan; Jinjun Chen; ; ; ; ; ,https://ieeexplore.ieee.org/document/7921576/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7921576,"Resource constrained sensing devices are being used widely to build and deploy self-organizing wireless sensor networks for a variety of critical applications such as smart cities, smart health, precision agriculture and industrial control systems. Many such devices sense the deployed environment and generate a variety of data and send them to the server for analysis as data streams. A Data Stream Manager (DSM) at the server collects the data streams (often called big data) to perform real time analysis and decision-making for these critical applications. A malicious adversary may access or tamper with the data in transit. One of the challenging tasks in such applications is to assure the trustworthiness of the collected data so that any decisions are made on the processing of correct data. Assuring high data trustworthiness requires that the system satisfies two key security properties: confidentiality and integrity. To ensure the confidentiality of collected data, we need to prevent sensitive information from reaching the wrong people by ensuring that the right people are getting it. Sensed data are always associated with different sensitivity levels based on the sensitivity of emerging applications or the sensed data types or the sensing devices. For example, a temperature in a precision agriculture application may not be as sensitive as monitored data in smart health. Providing multilevel data confidentiality along with data integrity for big sensing data streams in the context of near real time analytics is a challenging problem. In this paper, we propose a Selective Encryption (SEEN) method to secure big sensing data streams that satisfies the desired multiple levels of confidentiality and data integrity. Our method is based on two key concepts: common shared keys that are initialized and updated by DSM without requiring retransmission, and a seamless key refreshment process without interrupting the data stream encryption/decryption. Theoretical analyses and e...",IEEE Transactions on Big Data,08 May 2017,379 - 392,,,10.1109/TBDATA.2017.2702172,https://doi.org/10.1109/TBDATA.2017.2702172,IEEE
An Improved Secure High-Order-Lanczos Based Orthogonal Tensor SVD for Outsourced Cyber-Physical-Social Big Data Reduction,Jun Feng; Laurence T. Yang; Guohui Dai; Jinjun Chen; Zheng Yan; ; ; ; ; ,https://ieeexplore.ieee.org/document/8536475/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8536475,"Cyber-physical-social big data concern heterogeneous, multiaspect, large-volume data generated in cyber-physical-social systems (CPSS). Orthogonal tensor SVD (OTSVD) has emerged as a powerful tool to reduce cyber-physical-social big data. In this work, we propose an improved secure high-order-Lanczos based OTSVD for cyber-physical-social big data reduction in clouds. Specifically, to take advantage of the parallel processing capability of cloud computing, the improved secure high-order Lanczos algorithm is derived by restructuring the original high-order Lanczos algorithm such that only one synchronization point per iteration is required. To protect data privacy, the improved secure high-order-Lanczos based OTSVD employs homomorphic encryption integrated with batching technique, and garbled circuits, and makes all computations of the OTSVD algorithm in clouds come true. To our knowledge, this is the first study to efficiently tackle big data reduction in clouds in a privacy-preserving manner. Finally, we prove that our improved approach is secure in semi-trusted model. And we evaluate the proposed improved secure OTSVD on real datasets. The results show that our proposed improved secure approach is efficient and scalable for cyber-physical-social big data reduction.",IEEE Transactions on Big Data,15 November 2018,808 - 818,,,10.1109/TBDATA.2018.2881441,https://doi.org/10.1109/TBDATA.2018.2881441,IEEE
A New Methodology for Storing Consistent Fuzzy Geospatial Data in Big Data Environment,Besma Khalfi; Cyril de Runz; Sami Faiz; Herman Akdag; ; ; ; ,https://ieeexplore.ieee.org/document/7974765/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7974765,"In this era of big data, as relational databases are inefficient, NoSQL databases are a workable solution for data storage. In this context, one of the key issues is the veracity and therefore the data quality. Indeed, as with classic data, geospatial big data are generally fuzzy even though they are stored as crisp data (perfect data). Hence, if data are geospatial and fuzzy, additional complexities appear because of the complex syntax and semantic features of such data. The NoSQL databases do not offer strict data consistency. Therefore, new challenges are needed to be overcome to develop efficient methods that simultaneously ensure the performance and the consistency in storing fuzzy geospatial big data. This paper presents a new methodology that tackles the storage issues and validates the fuzzy spatial entities' consistency in a document-based NoSQL system. Consequently, first, to better express the structure of fuzzy geospatial data in such a system, we present a logical model called Fuzzy GeoJSON schema. Second, for consistent storage, we implement a schema-driven pipeline based on the Fuzzy GeoJSON schema and semantic constraints.",IEEE Transactions on Big Data,11 July 2017,468 - 482,,,10.1109/TBDATA.2017.2725904,https://doi.org/10.1109/TBDATA.2017.2725904,IEEE
BIG DATA for Healthcare: A Survey,Safa Bahri; Nesrine Zoghlami; Mourad Abed; João Manuel R. S. Tavares; ; ; ; ,https://ieeexplore.ieee.org/document/8585021/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585021,"Recently, the massification of new technologies, which has been adopted by a large majority of the world population, has accumulated a tremendous amount of data, including clinical data. This clinical data have been gathered up and interpreted by medical organizations in order to gain insights and knowledge useful for clinical decisions, drug recommendations, and better diagnoses, among many other uses. This paper highlights the enormous impacts of big data on medical stakeholders, patients, physicians, pharmaceutical and medical operators, and healthcare insurers, and also reviews the different challenges that must be taken into account to get the best benefits from all this big data and the available applications.",IEEE Access,21 December 2018,7397 - 7408,2169-3536,,10.1109/ACCESS.2018.2889180,https://doi.org/10.1109/ACCESS.2018.2889180,IEEE
An Integrated Big and Fast Data Analytics Platform for Smart Urban Transportation Management,Sandro Fiore; Donatello Elia; Carlos Eduardo Pires; Demetrio Gomes Mestre; Cinzia Cappiello; Monica Vitali; Nazareno Andrade; Tarciso Braz; Daniele Lezzi; Regina Moraes; Tania Basso; Nádia P. Kozievitch; Keiko Verônica Ono Fonseca; Nuno Antunes; Marco Vieira; Cosimo Palazzo; Ignacio Blanquer; Wagner Meira; Giovanni Aloisio; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/8809689/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8809689,"Smart urban transportation management can be considered as a multifaceted big data challenge. It strongly relies on the information collected into multiple, widespread, and heterogeneous data sources as well as on the ability to extract actionable insights from them. Besides data, full stack (from platform to services and applications) Information and Communications Technology (ICT) solutions need to be specifically adopted to address smart cities challenges. Smart urban transportation management is one of the key use cases addressed in the context of the EUBra-BIGSEA (Europe-Brazil Collaboration of Big Data Scientific Research through Cloud-Centric Applications) project. This paper specifically focuses on the City Administration Dashboard, a public transport analytics application that has been developed on top of the EUBra-BIGSEA platform and used by the Municipality stakeholders of Curitiba, Brazil, to tackle urban traffic data analysis and planning challenges. The solution proposed in this paper joins together a scalable big and fast data analytics platform, a flexible and dynamic cloud infrastructure, data quality and entity matching algorithms as well as security and privacy techniques. By exploiting an interoperable programming framework based on Python Application Programming Interface (API), it allows an easy, rapid and transparent development of smart cities applications.",IEEE Access,22 August 2019,117652 - 117677,2169-3536,,10.1109/ACCESS.2019.2936941,https://doi.org/10.1109/ACCESS.2019.2936941,IEEE
Model-Based Big Data Analytics-as-a-Service: Take Big Data to the Next Level,Claudio Agostino Ardagna; Valerio Bellandi; Michele Bezzi; Paolo Ceravolo; Ernesto Damiani; Cedric Hebert; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/8319508/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8319508,"The Big Data revolution promises to build a data-driven ecosystem where better decisions are supported by enhanced analytics and data management. However, major hurdles still need to be overcome on the road that leads to commoditization and wide adoption of Big Data Analytics (BDA). Big Data complexity is the first factor hampering the full potential of BDA. The opacity and variety of Big Data technologies and computations, in fact, make BDA a failure prone and resource-intensive process, which requires a trial-and-error approach. This problem is even exacerbated by the fact that current solutions to Big Data application development take a bottom-up approach, where the last technology release drives application development. Selection of the best Big Data platform, as well as of the best pipeline to execute analytics, represents then a deal breaker. In this paper, we propose a return to roots by defining a Model-Driven Engineering (MDE) methodology that supports automation of BDA based on model specification. Our approach lets customers declare requirements to be achieved by an abstract Big Data platform and smart engines deploy the Big Data pipeline carrying out the analytics on a specific instance of such platform. Driven by customers' requirements, our methodology is based on an OWL-S ontology of Big Data services and on a compiler transforming OWL-S service compositions in workflows that can be directly executed on the selected platform. The proposal is experimentally evaluated in a real-world scenario focusing on the threat detection system of SAP.",IEEE Transactions on Services Computing,19 March 2018,516 - 529,,,10.1109/TSC.2018.2816941,https://doi.org/10.1109/TSC.2018.2816941,IEEE
A System of Systems Approach for Global Supply Chain Management in the Big Data Era,Tsan-Ming Choi; ,https://ieeexplore.ieee.org/document/8334864/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8334864,"Global supply chain management (GSCM) is increasingly complex and managers find that traditional methods fall short in adequately addressing many associated challenges. As such, it calls for innovative managerial measures. In this paper, we discuss how the system of systems (SoS) approach and big data technologies can be applied to improve GSCM. We first show that the global supply chain is an SoS and examine various principles of the SoS approach. Then, we review various big data related technologies which are commonly employed in global supply chain management. After that, we propose how big data related technologies can be incorporated into the SoS approach to enhance global supply chain operations by presenting an example. This paper provides practitioners a new perspective on how big data related technologies can be used for global supply chain management with an SoS mindset.",IEEE Engineering Management Review,11 April 2018,91 - 97,,,10.1109/EMR.2018.2810069,https://doi.org/10.1109/EMR.2018.2810069,IEEE
A Big Data Provenance Model for Data Security Supervision Based on PROV-DM Model,Yuanzhao Gao; Xingyuan Chen; Xuehui Du; ; ; ,https://ieeexplore.ieee.org/document/9007438/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9007438,"Nowadays, big data has become a hot research topic. It gives fresh impetus to the economic and social development. However, the huge value of big data also makes it the focus of attacks. Big data security incidents occur frequently in recent years. The security supervision capacities for big data do not match its important role. Data provenance which describes the origins of data and the process by which it arrived the current state, is an effective approach for data supervision. For the full use of provenance in big data supervision, a provenance model which defines the concepts used to represent the provenance types and relations is required to be built in advance, but current provenance models do not adapt to big data scenarios well. In this paper, we comprehensively consider the characteristics of big data and the requirements of data security supervision, extend the widely used provenance model PROV-DM by subtyping and new relation definition, and propose a big data provenance model (BDPM) for data supervision. BDPM model supports the provenance representation of various data types and diverse data processing modes to represent the entire data transformation process through different components in the big data system, and defines new relations to enrich provenance analysis functions. Based on BDPM model, we introduce the constraints that should be satisfied in the construction of valid provenance graph and present the data security supervision methods via provenance graph analysis. Finally, we evaluated the satisfiability of BDPM model through a case study.",IEEE Access,24 February 2020,38742 - 38752,2169-3536,,10.1109/ACCESS.2020.2975820,https://doi.org/10.1109/ACCESS.2020.2975820,IEEE
"Big Data Features, Applications, and Analytics in Cardiology—A Systematic Literature Review",Shah Nazir; Muhammad Nawaz; Awais Adnan; Sara Shahzad; Shahla Asadi; ; ; ; ; ,https://ieeexplore.ieee.org/document/8840830/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8840830,"In today's digital world the information surges with the widespread use of the internet and global communication systems. Healthcare systems are also facing digital transformations with the enhancement in the utilization of healthcare information systems, electronic records in medical, wearable, smart devices, handheld devices, and so on. A bulk of data is produced from these digital transformations. The recent increase in medical big data and the development of computational techniques in the field of cardiology enables researchers and practitioners to extract and visualize medical big data in a new spectrum. The role of medical big data in cardiology becomes a challenging task. Early decision making in cardiac healthcare system has massive potential for dropping the cost of care, refining quality of care, and reducing waste and error. Therefore, to facilitate this process a detailed report of the existing literature will be feasible to help the doctors and practitioners in decision making for the purpose of identifying and treating cardiac diseases. This detailed study will summarize results from the existing literature on big data in the field cardiac disease. This research uses the systematic literature protocol as presented by Kitchenham et al. The data was collected from the published materials from 2008 to 2018 as conference or journal publications, books, magazines and other online sources. 190 papers were included relying on the defined inclusion, exclusion, and checking the quality criteria. The current study helped to identify medical big data features, the application of medical big data, and the analytics of the big data in cardiology. The results of the proposed research shows that several studies exist that are associated to medical big data specifically to cardiology. This research summarizes and organizes the existing literature based on the defined keywords and research questions. The analysis will help doctors to make more authentic decisions, whi...",IEEE Access,17 September 2019,143742 - 143771,2169-3536,,10.1109/ACCESS.2019.2941898,https://doi.org/10.1109/ACCESS.2019.2941898,IEEE
Processes Meet Big Data: Connecting Data Science with Process Science,Wil van der Aalst; Ernesto Damiani; ; ,https://ieeexplore.ieee.org/document/7302592/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7302592,"As more and more companies are embracing Big data, it has become apparent that the ultimate challenge is to relate massive amounts of event data to processes that are highly dynamic. To unleash the value of event data, events need to be tightly connected to the control and management of operational processes. However, the primary focus of Big data technologies is currently on storage, processing, and rather simple analytical tasks. Big data initiatives rarely focus on the improvement of end-to-end processes. To address this mismatch, we advocate a better integration of data science, data technology and process science. Data science approaches tend to be process agonistic whereas process science approaches tend to be model-driven without considering the “evidence” hidden in the data. Process mining aims to bridge this gap. This editorial discusses the interplay between data science and process science and relates process mining to Big data technologies, service orientation, and cloud computing.",IEEE Transactions on Services Computing,26 October 2015,810 - 819,,,10.1109/TSC.2015.2493732,https://doi.org/10.1109/TSC.2015.2493732,IEEE
PPHOPCM: Privacy-Preserving High-Order Possibilistic c-Means Algorithm for Big Data Clustering with Cloud Computing,Qingchen Zhang; Laurence T. Yang; Zhikui Chen; Peng Li; ; ; ; ,https://ieeexplore.ieee.org/document/7920374/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7920374,"As one important technique of fuzzy clustering in data mining and pattern recognition, the possibilistic c-means algorithm (PCM) has been widely used in image analysis and knowledge discovery. However, it is difficult for PCM to produce a good result for clustering big data, especially for heterogenous data, since it is initially designed for only small structured dataset. To tackle this problem, the paper proposes a high-order PCM algorithm (HOPCM) for big data clustering by optimizing the objective function in the tensor space. Further, we design a distributed HOPCM method based on MapReduce for very large amounts of heterogeneous data. Finally, we devise a privacy-preserving HOPCM algorithm (PPHOPCM) to protect the private data on cloud by applying the BGV encryption scheme to HOPCM, In PPHOPCM, the functions for updating the membership matrix and clustering centers are approximated as polynomial functions to support the secure computing of the BGV scheme. Experimental results indicate that PPHOPCM can effectively cluster a large number of heterogeneous data using cloud computing without disclosure of private data.",IEEE Transactions on Big Data,05 May 2017,25 - 34,,,10.1109/TBDATA.2017.2701816,https://doi.org/10.1109/TBDATA.2017.2701816,IEEE
Privacy-Preserving Data Encryption Strategy for Big Data in Mobile Cloud Computing,Keke Gai; Meikang Qiu; Hui Zhao; ; ; ,https://ieeexplore.ieee.org/document/7931658/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7931658,"Privacy has become a considerable issue when the applications of big data are dramatically growing in cloud computing. The benefits of the implementation for these emerging technologies have improved or changed service models and improve application performances in various perspectives. However, the remarkably growing volume of data sizes has also resulted in many challenges in practice. The execution time of the data encryption is one of the serious issues during the data processing and transmissions. Many current applications abandon data encryptions in order to reach an adoptive performance level companioning with privacy concerns. In this paper, we concentrate on privacy and propose a novel data encryption approach, which is called Dynamic Data Encryption Strategy (D2ES). Our proposed approach aims to selectively encrypt data and use privacy classification methods under timing constraints. This approach is designed to maximize the privacy protection scope by using a selective encryption strategy within the required execution time requirements. The performance of D2ES has been evaluated in our experiments, which provides the proof of the privacy enhancement.",IEEE Transactions on Big Data,18 May 2017,678 - 688,,,10.1109/TBDATA.2017.2705807,https://doi.org/10.1109/TBDATA.2017.2705807,IEEE
An Integrated Framework for Health State Monitoring in a Smart Factory Employing IoT and Big Data Techniques,Wenjin Yu; Yuehua Liu; Tharam Dillon; Wenny Rahayu; Fahed Mostafa; ; ; ; ; ,https://ieeexplore.ieee.org/document/9481251/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9481251,"With the rapid growth in the use of various smart digital sensors, the Internet of Things (IoT) is a swiftly growing technology, which has contributed significantly to Industry 4.0 and the promotion of IoT-based smart factories, which gives rise to the new challenges of big data analytics and the implementation of machine learning techniques. This article proposes a practical framework that combines IoT techniques, a data lake, data analysis, and cloud computing for manufacturing equipment health-state monitoring and diagnostics in smart manufacturing. It addresses all the required aspects in the realization of such a system and allows the seamless interchange of data and functionality. Due to the specific characteristics of IoT sensor data (low quality, redundant multisources, partial labeling), we not only provide a promising framework but also give detailed insights and pay considerable attention to data quality issues. In the proposed framework, an ingestion procedure is designed to manage data collection, data security, data transformation and data storage issues. To improve the quality of IoT big data, a high-noise feature filter is proposed for automated preliminary sensor selection to suppress noisy features, followed by a noisy data cleaning module to provide good quality data for unbiased diagnosis modeling. The proposed framework can achieve seamless integration between IoT big data ingestion from the physical factory and machine learning-based data analytics in the virtual systems. It is built on top of the Apache Spark processing engine, being capable of working in both big data and real-time environments. One case study has been conducted based on a four-stage syngas compressor from real industries, which won the Best Industry Application of IoT at the BigInsights Data & AI Innovation Awards. The experimental results demonstrate the effectiveness of both the proposed IoT-architecture and techniques to address the data quality issues.",IEEE Internet of Things Journal,12 July 2021,2443 - 2454,,,10.1109/JIOT.2021.3096637,https://doi.org/10.1109/JIOT.2021.3096637,IEEE
Survey of Distributed Computing Frameworks for Supporting Big Data Analysis,,https://ieeexplore.ieee.org/document/10026506/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10026506,"Distributed computing frameworks are the fundamental component of distributed computing systems. They provide an essential way to support the efficient processing of big data on clusters or cloud. The size of big data increases at a pace that is faster than the increase in the big data processing capacity of clusters. Thus, distributed computing frameworks based on the MapReduce computing model are not adequate to support big data analysis tasks which often require running complex analytical algorithms on extremely big data sets in terabytes. In performing such tasks, these frameworks face three challenges: computational inefficiency due to high I/O and communication costs, non-scalability to big data due to memory limit, and limited analytical algorithms because many serial algorithms cannot be implemented in the MapReduce programming model. New distributed computing frameworks need to be developed to conquer these challenges. In this paper, we review MapReduce-type distributed computing frameworks that are currently used in handling big data and discuss their problems when conducting big data analysis. In addition, we present a non-MapReduce distributed computing framework that has the potential to overcome big data analysis challenges.",Big Data Mining and Analytics,26 January 2023,154 - 169,,,10.26599/BDMA.2022.9020014,https://doi.org/10.26599/BDMA.2022.9020014,TUP
CloudFinder: A System for Processing Big Data Workloads on Volunteered Federated Clouds,Abdelmounaam Rezgui; Nickolas Davis; Zaki Malik; Brahim Medjahed; Hamdy S. Soliman; ; ; ; ; ,https://ieeexplore.ieee.org/document/7926341/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7926341,"The proliferation of private clouds that are often underutilized and the tremendous computational potential of these clouds when combined has recently brought forth the idea of volunteer cloud computing (VCC), a computing model where cloud owners contribute underutilized computing and/or storage resources on their clouds to support the execution of applications of other members in the community. This model is particularly suitable to solve big data scientific problems. Scientists in data-intensive scientific fields increasingly recognize that sharing volunteered resources from several clouds is a cost-effective alternative to solve many complex, data- and/or compute-intensive science problems. Despite the promise of the idea of VCC, it still remains at the vision stage at best. Challenges include the heterogeneity and autonomy of member clouds, access control and security, complex inter-cloud virtual machine scheduling, etc. In this paper, we present CloudFinder, a system that supports the efficient execution of big data workloads on volunteered federated clouds (VFCs). Our evaluation of the system indicates that VFCs are a promising cost-effective approach to enable big data science.",IEEE Transactions on Big Data,11 May 2017,347 - 358,,,10.1109/TBDATA.2017.2703830,https://doi.org/10.1109/TBDATA.2017.2703830,IEEE
